Programa,Fines de Aprendizaje del Programa,Semestre,Clave de UF (GCA),Unidad de Formación,Tipo de UF,Semanas de la UF,Créditos Académicos de la UF,Criterios de Evaluación,Tipo de Evaluación,Formato de Impartición,"Otras Propiedades (ED, LAB, SOS, SH)",Competencia común ,Clave de la competencia,Disciplina de la Competencia,Nombre de la competencia,Descripción de la competencia,Subcompetencia común,Clave de la subcompetencia,Disciplina de la Subcompetencia,Nombre de la subcompetencia,Descripción de la subcompetencia,Elemento común,Clave del elemento,Elemento (Fin de Aprendizaje de la UF),Temas,Duración del Tema,Subtemas
ARQ26,Developing systemic thinking and grounding design proposals through the application of principles from architecture and city theory from diverse perspectives of inclusion.,6,,Buildability,Subject,10,6,,Development,Onsite,,No,PR-ARQ26-0H10000,,Theoretical and Historical Foundation,Foundations of Your Design Proposals Based on the Application of Principles from Architectural and Urban Theory and History from Different Inclusion Perspectives.,Yes,PR-ARQ26-0H10001,,Research,"Develop research for the construction of proposals, projects or products using diverse methodologies and technological tools.",Yes,PR-ARQ26-0H10002,Develop problem-solving skills.,Introduction to Complex Systems.,10,
ARQ26,Develop Systemic Thinking and Founding Design Proposals through the Application of Architecture and Urban Planning Theory and History Principles from Different Inclusion Perspectives,6,,Buildability,Subject,10,6,,Development,On-site,,No,PR-ARQ26-0H10000,,Theoretical and Historical Foundation,Ground your design proposals through the application of principles from architecture and urban theory and history from diverse inclusion perspectives.,Yes,PR-ARQ26-0H10001,,Research,"Develop researches for the construction of proposals, projects or products utilizing various methodologies and technological tools.",Yes,PR-ARQ26-0H10002,Critical Analysis and Problem Solving.,Information Synthesis Techniques.,10,
Program,Graduation Requirements of the Program,Semester,Course Key (GCA),Learning Unit,Type of Learning Unit,Semester Weeks of the UF,Academic Credits of the University,Evaluation Criteria,Assessment Type,Teaching Format,"Other Properties (ED, LAB, SOS, SH)",Common Competence,Competence Key,Subject of Competition,Competition Name,Description of the Competition,Common Subcompetence,Unit Key,Field of the Sub-Skill Area,Job Title of the Sub-Competence,Description of the sub-competence,Common Element,Element Key,Learning Element (End of Learning at the UF),Themes,Duration of the Topic,Topics
ARQ27,Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of energy.,6,,Sustainable Design,Subject,10,8,,Implementation,On-site,,No,PR-ARQ27-010000,,Sustainable Building Practices,Sustainable Design Principles for Building Construction and Architectural Spaces.,Yes,PR-ARQ27-010100,,Investigación y Desarrollo,Develop research projects to improve energy efficiency and reduce environmental impact in construction.,Yes,PR-ARQ27-010101,Design for Sustainability,Evaluación del Impacto Ambiental.,10,
ARQ27,Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of energy.,6,,Sustainable Design,Subject,10,8,,Implementation,On-site,,"""No""",PR-ARQ27-010000,,Prácticas de Edificación Sostenible,Sustainable Design Principles for Building Construction and Architectural Spaces.,Yes,PR-ARQ27-010100,,Investigación y Desarrollo,Develop research projects for improving energy efficiency and reducing environmental impact in construction.,Yes,PR-ARQ27-010102,Sustainable Materials Selection.,Building Information Modeling (BIM),10,Program
INGE26,Design and develop automation systems for industrial process control and monitoring.,5,,Analysis of Circuits,Subject,10,6,,Development,On-site,,No,PR-INGE26-0A1B001,,Foundations of Electronics,Bases your design proposals on the application of the principles of electronics and automation.,Yes,PR-INGE26-0A1B002,,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INGE26-0A1B003,Systems Thinking Development,Automation System Design.,10,
INGE26,Design and development of electronic prototypes for measurement and control of industrial processes.,5,,Circuits Analysis,Subject,10,6,,Development,On-site,,No,PR-INGE26-0A1B004,,Foundations of Electronics,Base Design Proposals on the Application of Electronic and Automatic Principles.,Yes,PR-INGE26-0A1B005,,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INGE26-0A1B006,Design and develop prototypes.,Electronic Circuit Analysis,10,Program
INF26,Develop skills for analyzing and designing effective information systems.,5,,Systems Design,Subject,10,6,,Development,On-site,,No,PR-INF26-0A10001,,Theoretical and Historical Foundations,Ground your design proposals by applying the principles of computer science theory and history.,Yes,PR-INF26-0A10002,,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INF26-0A10003,Systemic Thinking Development,System Requirements Analysis,10,
INF26,Design a Systems Information System to Meet User Needs,5,,Systems Design,Subject,10,6,,Development,On-site,,No,PR-INF26-0A10004,,Theoretical and Historical Foundation,Ground your design proposals by applying the principles of computer science theory and history.,Yes,PR-INF26-0A10005,,Research,"Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.",Yes,PR-INF26-0A10006,Systemic Thinking Development,User Interface Design Machine,10,Program
IN29,Develop skills for analyzing and solving problems in the field of computer engineering.,5,,Algorithms,Course,10,6,,Development,On-site,,No,PR-IN29-0B10000,,Analysis of Algorithms,Complexity Theory for Evaluating and Comparing Different Algorithms,Yes,PR-IN29-01-0001,,Research,Designs and implements solutions for specific problems using programming languages.,Yes,PR-IN29-010101,Develop Logical Reasoning Abilities.,Data Structures.,10,
IN29,Design and Develop Efficient and Scalable Information Systems.,5,,Algorithms,Subject,10,6,,Development,On-site,,"""No""",PR-IN29-0B10001,,Analysis of Algorithms,Evaluación y Comparación de Algoritmos utilizando Conceptos de Teoría de Complejidad,Yes,PR-IN29-010002,,Research,Design and Implement Solutions for Specific Problems Using Programming Languages,Yes,PR-IN29-010102,Develop Critical Analysis Capacity.,Operating Systems.,10,Program
INGE28,Design and Develop Information Systems for Decision-Making.,5,,Analytics,Subject,8,4,,Development,On-site,,No,PR-INGE28-0B10000,,Theoretical and Historical Foundation,Base Foundations of Design Proposals Through the Application of Principles of Engineering and Information Theory from Different Inclusion Perspectives.,Yes,PR-INGE28-0B10001,,Research,"Develops research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INGE28-0B10002,Systemic Thinking Development,System Modeling Techniques.,8,
INGE28,Design and develop information systems for decision-making.,5,,Analytics,Subject,8,4,,Development,On-site,,No,PR-INGE28-0B10003,,Theoretical and Historical Foundation,Ground your design proposals by applying the principles of engineering and information theory from diverse inclusive perspectives.,Yes,PR-INGE28-0B10004,,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INGE28-0B10005,Developing Systems Thinking,Data Analysis and Visualization.,8,Program
English,Developing Effective Communication Skills in English for Interacting with Native and Non-Native Speakers.,5,,Communication,Subject,10,6,,Development,Online,,No,PR-INGL-0B1A001,,Linguistic Foundation,Foundationalize your communication proposals through the application of English grammar and phonetics principles.,Yes,PR-INGL-0B1A002,,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",Yes,PR-INGL-0B1A003,Developing Auditory Comprehension.,Active Listening Techniques.,10,
