Programa,Fines de Aprendizaje del Programa,Semestre,Clave de UF (GCA),Unidad de Formación,Tipo de UF,Semanas de la UF,Créditos Académicos de la UF,Criterios de Evaluación,Tipo de Evaluación,Formato de Impartición,"Otras Propiedades (ED, LAB, SOS, SH)",Competencia común ,Clave de la competencia,Disciplina de la Competencia,Nombre de la competencia,Descripción de la competencia,Subcompetencia común,Clave de la subcompetencia,Disciplina de la Subcompetencia,Nombre de la subcompetencia,Descripción de la subcompetencia,Elemento común,Clave del elemento,Elemento (Fin de Aprendizaje de la UF),Temas,Duración del Tema,Subtemas
ARQ26,Develop Systematic Thinking and Founding Design Proposals through the Application of Principles from Architecture and City Theory from Different Inclusive Perspectives,6,,Constructibility,Subject,['6'],['6'],,Development,On-site,,['6'],PR-ARQ26-0H10000,,Theoretical and Historical Foundation,Underpin your design proposals by applying the principles of architecture and urban planning theory and history from diverse inclusive perspectives.,['6'],['PR-ARQ26-0H10000'],,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",['6'],['PR-ARQ26-0H10000'],Develop problem-solving skills.,Introduction to Complex Systems,['6'],
ARQ26,['Develop Systematic Thinking and Founding Design Proposals through the Application of Principles from Architecture and City Theory from Different Inclusive Perspectives'],['6'],,['Constructibility'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-ARQ26-0H10000'],,['Theoretical and Historical Foundation'],['Underpin your design proposals by applying the principles of architecture and urban planning theory and history from diverse inclusive perspectives.'],['6'],['PR-ARQ26-0H10000'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-ARQ26-0H10000'],Critical Analysis and Problem Solving.,Information Synthesis Techniques.,['6'],
Program,Learning Outcomes of the Program,Semester,GCA Key of Learning Unit,Learning Unit,Type of Learning Unit,Weeks of the UF,Academic Credits of the UF,Assessment Criteria,Type of Assessment,Teaching Format,"Other Properties (ED, LAB, SOS, SH)",Common Competition,Key Competency,Competence Discipline,Competition Name,Description of the competition,Common Subcompetency,['Key Competency'],Discipline of the Sub-Competence,['Competition Name'],['Description of the competition'],Common Element,Element Key,Learning Element (End of Learning of the UF),Themes,Duration of the Theme,Subjects
['ARQ26'],Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of energy.,['6'],,Sustainable Design,['Subject'],['6'],['6'],,Implementation,['On-site'],,['6'],['PR-ARQ26-0H10000'],,Sustainable Building Practices,Sustainable Design Principles for Building Construction and Architectural Spaces.,['6'],['PR-ARQ26-0H10000'],,Investigación y Desarrollo,Develop research projects to improve energy efficiency and reduce environmental impact in construction.,['6'],PR-ARQ27-010101,Design for Sustainability,Evaluación del Impacto Ambiental.,['6'],
['ARQ26'],['Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of energy.'],['6'],,['Sustainable Design'],['Subject'],['6'],['6'],,['Implementation'],['On-site'],,['6'],['PR-ARQ26-0H10000'],,['Sustainable Building Practices'],['Sustainable Design Principles for Building Construction and Architectural Spaces.'],['6'],['PR-ARQ26-0H10000'],,['Investigación y Desarrollo'],['Develop research projects to improve energy efficiency and reduce environmental impact in construction.'],['6'],['PR-ARQ27-010101'],Sustainable Materials Selection.,Building Information Modelling,['6'],['Program']
INGE26,Design and develop automation systems for the control and monitoring of industrial processes.,['6'],,Circuits Analysis,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],PR-INGE26-0A1B001,,Foundations of Electronics,Base your design proposals on the application of the principles of electronics and automation.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Systemic Thinking Development,Automation Systems Design,['6'],
['INGE26'],Development of Prototypes for Electronic Instruments Measuring and Controlling Industrial Processes.,['6'],,['Circuits Analysis'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INGE26-0A1B001'],,['Foundations of Electronics'],['Base your design proposals on the application of the principles of electronics and automation.'],['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Design and develop prototypes.,Electronics Circuit Analysis.,['6'],['Program']
['ARQ26'],Develop skills for analyzing and designing effective information systems.,['6'],,Design of Systems,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INGE26-0A1B001'],,['Theoretical and Historical Foundation'],Underpin your design proposals by applying the principles of computer science theory and history.,['6'],PR-INF26-0A10002,,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systemic Thinking Development'],System Requirements Analysis.,['6'],
['ARQ26'],Design a System Information Architecture That Meets the Needs of Users.,['6'],,['Design of Systems'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INF26-0A10002'],,['Theoretical and Historical Foundation'],['Underpin your design proposals by applying the principles of computer science theory and history.'],['6'],['PR-INF26-0A10002'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systemic Thinking Development'],Human-Computer Interaction Design,['6'],['Program']
['INGE26'],Develop skills for analyzing and solving problems in the field of computer engineering.,['6'],,Algorithms,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],PR-IN29-0B10000,,Algorithm Analysis,Complexity Theory Applications for Evaluating and Comparing Different Algorithms,['6'],['PR-IN29-0B10000'],,['Research'],Designs and implements solutions for specific problems using programming languages.,['6'],['PR-IN29-0B10000'],Develop Logical Reasoning Skills,Data Structures.,['6'],
