Programa,Fines de Aprendizaje del Programa,Semestre,Clave de UF (GCA),Unidad de Formación,Tipo de UF,Semanas de la UF,Créditos Académicos de la UF,Criterios de Evaluación,Tipo de Evaluación,Formato de Impartición,"Otras Propiedades (ED, LAB, SOS, SH)",Competencia común ,Clave de la competencia,Disciplina de la Competencia,Nombre de la competencia,Descripción de la competencia,Subcompetencia común,Clave de la subcompetencia,Disciplina de la Subcompetencia,Nombre de la subcompetencia,Descripción de la subcompetencia,Elemento común,Clave del elemento,Elemento (Fin de Aprendizaje de la UF),Temas,Duración del Tema,Subtemas
ARQ26,Developing systemic thinking and grounding design proposals through the application of principles from the theory and history of architecture and city planning from diverse perspectives of inclusion.,6,,Constructibility,Subject,['6'],['6'],,Development,On-site,,['6'],PR-ARQ26-0H10000,,Theoretical and Historical Foundation,Ground your design proposals by applying the principles of architectural and urban theory and history from different inclusive perspectives.,['6'],['PR-ARQ26-0H10000'],,Research,"Develops research for the construction of proposals, projects or products using various methodologies and technological tools.",['6'],['PR-ARQ26-0H10000'],Develop skills for problem-solving.,Introduction to Complex Systems.,['6'],
['ARQ26'],['Developing systemic thinking and grounding design proposals through the application of principles from the theory and history of architecture and city planning from diverse perspectives of inclusion.'],['6'],,['Constructibility'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-ARQ26-0H10000'],,['Theoretical and Historical Foundation'],['Ground your design proposals by applying the principles of architectural and urban theory and history from different inclusive perspectives.'],['6'],['PR-ARQ26-0H10000'],,['Research'],"['Develops research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-ARQ26-0H10000'],Critical Analysis and Problem Solving.,Information Synthesis Techniques.,['6'],
Program,Learning Outcomes of the Program,Semester,GCA Code of Learning Unit,Learning Unit,Type of UF,Weeks of the UF,Academic Credits of the UF,Assessment Criteria,Evaluation Type,Teaching Format,"Other Properties (ED, LAB, SOS, SH)",Common Competition,Competence Key,Discipline of Competition,Competition Name,Description of the Competition,Common Sub-Competency,['Competence Key'],Domain of the Subcompetence,['Competition Name'],['Description of the Competition'],Common Element,Element Key,Learning Element (End of Learning of the UF),Topics,Duration of the Topic,Topics
['ARQ26'],Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of resources and energy.,['6'],,Sustainable Design,['Subject'],['6'],['6'],,Implementation,['On-site'],,['6'],['PR-ARQ26-0H10000'],,Prácticas de Edificación Sostenible,Sustainable Design Principles for Building Construction and Architectural Spaces.,['6'],['PR-ARQ26-0H10000'],,Investigación y Desarrollo,Develop research projects to improve energy efficiency and reduce environmental impact in construction.,['6'],PR-ARQ27-010101,Desarrollo para la Sostenibilidad.,Evaluación del Impacto Ambiental.,['6'],
['ARQ26'],['Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of resources and energy.'],['6'],,['Sustainable Design'],['Subject'],['6'],['6'],,['Implementation'],['On-site'],,['6'],['PR-ARQ26-0H10000'],,['Prácticas de Edificación Sostenible'],['Sustainable Design Principles for Building Construction and Architectural Spaces.'],['6'],['PR-ARQ26-0H10000'],,['Investigación y Desarrollo'],['Develop research projects to improve energy efficiency and reduce environmental impact in construction.'],['6'],['PR-ARQ27-010101'],Sustainable Materials Selection.,Building Information Modelling,['6'],['Program']
INGE26,"Design and develop systems for automation, control and monitoring of industrial processes.",['6'],,Circuit Analysis,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],PR-INGE26-0A1B001,,Foundations of Electronics,Ground your design proposals through the application of principles from electronics and automation.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Systemic Thinking Development,Automation System Design.,['6'],
['INGE26'],Design and Development of Electronic Instrument Prototypes for Industrial Process Measurement and Control.,['6'],,['Circuit Analysis'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INGE26-0A1B001'],,['Foundations of Electronics'],['Ground your design proposals through the application of principles from electronics and automation.'],['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Design and Develop Prototypes.,Electronic Circuit Analysis.,['6'],['Program']
['ARQ26'],Develop skills for analyzing and designing effective information systems.,['6'],,Design of Systems,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INGE26-0A1B001'],,['Theoretical and Historical Foundation'],Ground your design proposals through the application of principles from the theory and history of computer science.,['6'],PR-INF26-0A10002,,['Research'],"['Develops research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systemic Thinking Development'],System Requirements Analysis.,['6'],
['ARQ26'],Design a systems information system that meets the needs of users.,['6'],,['Design of Systems'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INF26-0A10002'],,['Theoretical and Historical Foundation'],['Ground your design proposals through the application of principles from the theory and history of computer science.'],['6'],['PR-INF26-0A10002'],,['Research'],"['Develops research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systemic Thinking Development'],User Interface Design for Machines,['6'],['Program']
['INGE26'],Develop skills for analyzing and solving problems in the field of computer engineering.,['6'],,Algorithms,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],PR-IN29-0B10000,,Algorithm Analysis,Complexity Theory Applications for Evaluating and Comparing Different Algorithms,['6'],['PR-IN29-0B10000'],,['Research'],Designs and implements solutions for specific problems using programming languages.,['6'],['PR-IN29-0B10000'],Develop Logical Reasoning Abilities,Data Structures.,['6'],
